Park Name,City,Zip Code,City Cast Rating,Park Management,Location,Bathrooms,Pool,Pond,Grills,Pavillion,Gardens,Baseball Diamond,Softball Diamond,Toddler Friendly Play Area,Kid Play Area,Off Leash Dog Area,Water Fountain,Splash Pad,Skate Park,Basketball Court,Disc Golf,Beach Volleyball Court,Volleyball Court,Soccer Field,River or Stream,Tennis Courts,Pickleball Courts,Fitness Area,latitude,longitude,Additional Notes,Futsal Court,Lighting After Dark,Picnic Tables
11th Ave Park,Salt Lake City,84103,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.78278559200004,-111.86113082599996",No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,40.78278559200004,-111.86113082599996,"There’s a cricket pitch!! Port-a-potties. Good trees for hammocking. 10/10 views — you can even see the GSL. Incredible fun little tiny train network within the park, too.",No,No,Yes
17th South River Park,Salt Lake City,84104,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.73400892800004,-111.92497763099999",Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,40.73400892800004,-111.92497763099999,"Fortunately, a brand new Glendale Regional Park is in progress across the street. I do love to see a free soccer setup though! ",No,No,No
6400 Mini Park ,West Jordan,84081,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.60898000000003,-112.04488299999997",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.60898000000003,-112.04488299999997,,No,No,Yes
9th South River Park,Salt Lake City,84104,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.750526627000056,-111.92058743199999",Mysteriously locked,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.750526627000056,-111.92058743199999,Big grassy fields for play.,No,No,Yes
Adams Street Park,Midvale,84047,1,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.60356543200004,-111.90363562499999",No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,40.60356543200004,-111.90363562499999,"Long stretch of grass next to the highway, with a small off leash dog area. Could be elevated with some amenities and more trees! ",No,Yes,No
Akagi Park,Draper,84020,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50826095800005,-111.85154224499996",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.50826095800005,-111.85154224499996,,No,No,No
Alta Canyon Park,Sandy,84092,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.57764504000005,-111.83544347899999",Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,40.57764504000005,-111.83544347899999,Some amenities are inside the Sports Center on the park grounds.,No,Yes,Yes
Alzheimer’s Grove,Salt Lake City,84104,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.76359010700003,-111.92513210999999",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.76359010700003,-111.92513210999999,"Let’s get real on the Jordan River Trail. Alzheimer’s is a fearful diagnosis — and really hard on caretakers. Which is why I love that Alzheimer’s Wildlife Grove was dedicated as a quiet, serene respite for loved ones of Alzheimer’s patients.",No,No,Yes
Amber Crest Mini Park ,Draper,84020,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.475571143000025,-111.84585883399996",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.475571143000025,-111.84585883399996,,No,No,No
Amphitheater Park,Sandy,84094,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.580516128000056,-111.85434956799998",Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,40.580516128000056,-111.85434956799998,The little park at the Sandy Ampitheater has great views for a grassy sunset picnic! A cute splash pad with a running creek and shaded seating area for guardians.,No,Yes,Yes
